code,review,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
"@@ -595,8 +595,10 @@ namespace Kratos array_1d<double, 3> b = ZeroVector(3); b[0] = 1.0; - const array_1d<double, 3> c = MathUtils<double>::CrossProduct(a, b); - const array_1d<double, 3> d = MathUtils<double>::UnitCrossProduct(a, b); + array_1d<double, 3> c, d; + + MathUtils<double>::CrossProduct(c, b, a); + MathUtils<double>::UnitCrossProduct(d, b, a); KRATOS_CHECK_EQUAL(c[2], 2.0); KRATOS_CHECK_EQUAL(d[2], 1.0); ",I assumed that for CrossProduct the values were inverted as well... Is that right?,Good catch. Put `result` in brackets because its optional and add a description. See some of the other static functions for doc examples.,"Just one thing, be sure to define what each parameter means","Try to stick to one or the other abbreviation, i.e., CPS or CPF. It's less confusing this way.",This variable is defined in the Structural?,"This should `throw`...or all `from` functions should not require the `result` parameter, which is probably better since it avoids setting the members twice. The doc for `result` needs to be put back then.",Should just be `The modified result parameter.`,The `Cartesian3.fromCartesian4` calls are unnecessary and add more GC pressure.,"There is already a PENALTY parameters in the core, called INITIAL_PENALTY",:+1: Lets hope this doesn't change the values of the tests :D,"While this is more automated, I think its slightly overbuilt considering there are only 4 function. It should be fine to check the call name in `getEvaluateBinaryFunction` and apply the special cases."
"@@ -22,8 +22,13 @@ For internal use only; no backwards-compatibility guarantees. """""" +from __future__ import absolute_import + import sys import traceback +from builtins import next +from builtins import object +from builtins import zip import six ","I think we should we avoid `import six` for consistency with the approach followed elsewhere. What do you think, @RobbeSneyders ? Looks like we are using `six.reraise` in a few places and `six.text_type` in apiclient.py.",Why did you change this one?,"This rename in a81f5cd5408497642f691925940360c6e251942d is the real problem and it's misleading, I'd suggest just reverting the rename instead of aliasing here. The `tarfile.TarFile` code does not implement `__next__` in python2 or python3, instead it implents `__iter__` with custom returned iterators that are not `tarfile.TarFile` objects.","This will stop working in Python 3.8 and is deprecated for some time. However, `from collections.abc import Sequence`, which is the upgrade path, won't work in Python 2.7 Do you really need to subclass from it?",Erm. I was hoping you'd just focus the TODO with an issue tied to the python 3 port to add this once we were on python 3. Having different functionality in 2 and 3 seems like a thing we want to stay away from.,Should probably use the default name for the `str` function.,"@benjyw can you look over this file please? This override means that in line 39, during call to `_RWBuf.write()`, it will call `_RWBuf.do_write()` with `unicode`, rather than `bytes`, which might be a problem. However, `do_write()` simply raises `NotImplementedError`, so I don't know if this actually matters?",Should we do this before `import io`?,Please delete this line. No need for three lines.,Are we using timezone from pytz or tz from dateutil?,"not part of this PR, but I smell star imports that ought to be removed."
"@@ -25,13 +25,16 @@ module View def should_render_revenue? revenue = @tile.revenue_to_render + # special case: city with multi-revenue - no choice but to draw separate revenue + return true if revenue.any? { |r| !r.is_a?(Numeric) } + return false if revenue.empty? return false if revenue.first.is_a?(Numeric) && (@tile.cities + @tile.towns).one? return false if revenue.uniq.size > 1 - return false if @tile.cities.sum(&:slots) < 3 && @tile.stops.size == 2 + return false if @tile.cities.sum(&:slots) < 3 && (@tile.cities + @tile.towns).size == 2 true end ","we call cities + towns . size a lot, maybe make a helper method on tiles",can just make this a one liner,did you miss this? values uniq twice,why don't you do a return unless corporation first routes.size < corporations&trins&.size will crash if there is no corporation 3 < nil is undefined,"I'm not entirely sure about this. This will work differently than other player preferences which are stored on the server. Maybe there should be an option on the profile, and the local option is just a temporary option",Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.,would label.to_s == 'OO' work ?,should this be multiple abilities?,@tile.city_towns.size > 1,Trigger the dividend step for games that have revenue that comes from other places beyond their trains.,@routes.select { |r| r.hexes.any? }
"@@ -947,6 +947,7 @@ out: D_ERROR(""pool ""DF_UUID"" event %d failed: rc %d\n"", DP_UUID(svc->ps_uuid), src, rc); daos_prop_fini(&prop); +#endif } static void ",This will be removed.,From this point forward (successful daos_cont_create of either form above) would it be possible to unconditionally use *cuuid in the daos_cont_open() and daos_cont_destroy() calls?,(style) line over 100 characters,(style) trailing whitespace,"Are the default props used only during new pool creation, or might also be used afterwards? If the latter, or even regardless, it'd be more straightforward to initialize them fully during module initialization.",(style) line over 80 characters,"are there cases in the client pool disconnect execution flow that, following dc_pool_hdl_unlink(), could result in rc=-DER_NOMEM being returned to the daos_pool_disconnect() caller? I'm looking at the flow and having a hard time seeing where it can happen.",(style) code indent should use tabs where possible,Is this a TODO? (future),there is a D_STRNDUP,"Is it safe to remove this? What if there is code that relies on this being set to NULL? I.e. D_FREE free's this, but does not set to NULL, correct?"
"@@ -160,6 +160,11 @@ func (r *routeBuilder) profileHandler() (request.Handler, error) { return middleware.Wrap(h, backendMiddleware(r.cfg, r.authenticator, r.ratelimitStore, profile.MonitoringMap)...) } +func (r *routeBuilder) firehoseLogHandler() (request.Handler, error) { + h := firehose.Handler(r.batchProcessor, r.authenticator) + return middleware.Wrap(h, firehoseMiddleware(r.cfg, intake.MonitoringMap)...) +} + func (r *routeBuilder) backendIntakeHandler() (request.Handler, error) { requestMetadataFunc := emptyRequestMetadata if r.cfg.AugmentEnabled { ",nit: `firehoseLogHandler` vs. `firehoseMiddleware` looks like a naming inconsistency? (`log` is not used anywhere else).,There is no test for this use case,Shouldn't we only do these two within the L34-L37 if case? Do we want to return L39 a handler that is a tracefinisher even when the underlying handler is not traceable?,You should use the `healthcheck.Balancers` instead of `[]healthcheck.Balancer`.,"im not convinced about this. i wanted to not have any logic at all on the top level handlers (backend, frontend) and just chain downstream handlers, so they can be better reused. chaining would be their only responsibility. this ways you are doing too many things imo: composing _and_ branching. i'd liked more eg. @simitt idea of renaming the feSwitchHandler so it could be used in the backend if needed. this way you would have to duplicate the logic, and is not like this affords code or something.","Can you please add a TODO (or just do it) to pass in the `kibana.ClientConfig` directly, rather than another round-trip through `libbeat/common`? Then we can change `apm-server/kibana` to call `libbeat/kibana.NewClientWithConfig`, rather than _yet another_ round-trip :)",What's the purpose of removing this option?,Were we resorting to this middleware because previously the APMEvent didn't have a timestamp we could rely on for the timings?,These could be squashed.,I think you wanted this `true`,"I wonder if it would make more sense to call this `/modules`, do you plan to add anything else?"
"@@ -416,7 +416,8 @@ class GradeEntryFormsController < ApplicationController end end - #If the request is a post type and the abort flag is down (operation can continue) + # If the request is a post type and the abort flag is down + # (operation can continue) if request.post? && !abort_upload grades_file = params[:upload][:grades_file] begin ",Trailing whitespace detected.,Line is too long. [87/80],Style/StringLiterals: Prefer single-quoted strings when you don't need string interpolation or special symbols.,I've made the fast path resilient to more redefinition errors.,Prefer single-quoted strings when you don't need string interpolation or special symbols.,"The reason this error changed is because we've already created a `class A` and we can reopen that class within the same file, so this simply finds the already-created `class A` from above.",Trailing whitespace detected.,You should move this to right after Line 392 (you want this to be before the block that creates the grades).,Line is too long. [92/80],"this is why I prefer keyword arguments, I know `8` can be understood by the name of the class itself, but doesn't `weeks: 8` look much better?",Line is too long. [82/80]
"@@ -40,6 +40,8 @@ import org.sonar.plugins.java.api.semantic.Symbol; public class BytecodeCompleter implements JavaSymbol.Completer { + public static final int ASM_API_VERSION = Opcodes.ASM7_EXPERIMENTAL; + private Symbols symbols; private final ParametrizedTypeCache parametrizedTypeCache; private final SquidClassLoader classLoader; ",Confirmed the issue on SQ side.,We could take the opportunity to add `boolean isJava17Compatible();` method.,"it should be dropped and GC anyway, but I would avoid creating a variable if it is of no use.","Why do we need something like this. Unless Spark breaks things, Zeppelin should continue to work without needing a new build of Zeppelin. This prevents people from easily using Zeppelin with a potentially compatible version of Spark.","Why do we need something like this. Unless Spark breaks things, Zeppelin should continue to work without needing a new build of Zeppelin. This prevents people from easily using Zeppelin with a potentially compatible version of Spark.","`isAnnotatedWith` will go through all annotations, so with this code, you end up going through the list 4 times when the field is not annotated by any of the annotations (which I expect to be the most frequent case). We could do everything in one shot, without using `isAnnotatedWith`. The same happens in `isAnnotatedWithInject`.","NIT: Let's rename ""transactions to be deleted"" to ""delete transactions"".","We don't make statics that refer to type system entities (or NodeCache nodes) in the compiler. Doing so limits reusability of the JitInterface. We already have use cases where one can have multiple type system contexts in the same process: in those cases, static cache is just another word for ""memory leak"". I would prefer this stays an instance field (it also avoids the problems with races Sergiy pointed out).",No need of null check here.,nit: insert empty line,"This will fail with `NoSuchFieldError` when accessing a core file generated prior to the addition of `J9AccClassIsUnmodifiable`. This should use a static field initialized with > J9ConstantHelper.getLong(J9JavaAccessFlags.class, ""J9AccClassIsUnmodifiable"", 0)"
"@@ -359,6 +359,8 @@ function annotate(fn, strictDi, name) { * * {@link auto.$provide#service service(class)} - registers a **constructor function**, `class` * that will be wrapped in a **service provider** object, whose `$get` property will instantiate * a new object using the given constructor function. + * * {@link auto.$provide#decorator decorator(name)} - registers a **service decorator** with the + * {@link auto.$injector $injector}, `name` the name of the service to decorate. * * See the individual methods for more information and examples. */ ","service decorator is not correct, as not only services can be decorated. You should call it **decorator function**. In the function signature, the decorator fn is also missing: decorator(name, decoratorFn)",", `name` the name of the provider to decorate. -> ; `name` is the name of the provider to decorate.","Does ""Arbitrary order"" mean that the order will be always the same or not?",What about services that specify a factory (else branch)? Are you addressing that in a follow-up?,"might want to log a warning or throw or something, if value === escaped or === the current escaped start symbol, and ditto for the end symbol. Or maybe not, I dunno.",I don't believe these need to be instantiated.,please wrap `true` in backticks so that it is rendered in a &lt;code> tag --- otherwise lgtm,Not enough space for `this.directive`?,Revert this one,"Wouldn't we need this `instance` to also be updated, if `result !== instance` ? (Could this by why you defined `instantiate` as a variable, but then forgot to update it's `instance` property ?)",Oops. Do we need to think through backward compatibility? We usually provide the backward compatibility between two PROD versions. E.g. new v0.js should work with the old amp-carousel.js
"@@ -158,6 +158,8 @@ def get_supported(versions=None, noarch=False): abis.append('none') + arches = [] + if not noarch: arch = get_platform() if sys.platform == 'darwin': ",Renaming this variable `arch` and flipping the values/logic in the surrounding code would make this a bit less confusing. Double negatives FTL where avoidable,Renaming this variable `arch` and flipping the values/logic in the surrounding code would make this a bit less confusing. Double negatives FTL where avoidable,"Given the removal of ncurses 5 from the ABI requirement, this implication isn't necessarily true: it's possible for a platform to be compatible with `manylinux2010` without being compatible with `manylinux1`.","Given the removal of ncurses 5 from the ABI requirement, this implication isn't necessarily true: it's possible for a platform to be compatible with `manylinux2010` without being compatible with `manylinux1`.","I'm not sure how the `macosx` platform tags are actually structured, so it would be safer to keep the `startswith` for this case.","I'm not sure how the `macosx` platform tags are actually structured, so it would be safer to keep the `startswith` for this case.","Again, please try avoiding `# noqa`.","Again, please try avoiding `# noqa`.","This is a partial fix to an issue described in #3202; I have a PR open with a full fix at #3357. The full fix generates an order of magnitude more tags on my machine than this PR (198 vs 2196, though these both include impossible tags as described in #3403).","This is a partial fix to an issue described in #3202; I have a PR open with a full fix at #3357. The full fix generates an order of magnitude more tags on my machine than this PR (198 vs 2196, though these both include impossible tags as described in #3403).","So this code depends on the versions[0][0] input and on the arch... whats the right behaviour when noarch is false? A test for it might be to assert that get_supported([['2']], False) results in ('py2', 'none', local_arch) in the output, and for get_support([['2]], True) to do ??? [whats the right thing here?]. We could make this more meaningfully testable by pushing all the calculation to pure functions, and having get_supported just do the querying and then call those functions"
"@@ -641,8 +641,10 @@ public class DoFnOperator<InputT, OutputT> @Override public final void processElement(StreamRecord<WindowedValue<InputT>> streamRecord) { checkInvokeStartBundle(); + long oldHold = keyCoder != null ? keyedStateInternals.minWatermarkHoldMs() : -1L; doFnRunner.processElement(streamRecord.getValue()); checkInvokeFinishBundleByCount(); + emitWatermarkIfHoldChanged(oldHold); } @Override ",Is this required on every element? I'd rather trigger this only if we set / remove a hold.,Let just the if and this is the default.,Was this just a bug hanging around?,+1 to this - now that GC is done via window expiration rather than per-element lateness there is no need to relocate output times to EOW even when we relocate the hold to GC time,We need the following to generalize watermark emission to be able to call this method from other places. ``` if (mark.getTimestamp > currentInputWatermark) { currentInputWatermark = mark.getTimestamp(); },"This one was tough. The problem here was, that previously input watermark moved at the end of each bundle. Each bundle also contained its own timers. But - because timers can generate new timers and these are processed in different bundle - the actual timestamp of timer must be taken into account. Otherwise a timer setup for some earlier time might trigger window garbage collection, because input watermark is already way ahead. I'm not quite sure of the other consequences though. Is it correct, that one bundle might generate multiple bundles, or is there a bundle atomicity requirement? On the other hand, runners that don't have concept of bundles (and have therefore by definition bundle of size 1) have to generate multiple bundles from single bundle, so that might be ok. Am I right?",This is reversed - we want oldTimersAddr to match data in existing pipelines for compatibility. This means that oldTimersAddr must be what was there before.,BoundedWindow.TIMESTAMP_MAX_VALUE is the maximum value for any Beam timestamp. There is a ArithmeticException(The calculation caused an overflow) when use the Long.MAX_VALUE.,Move this check to the translator so it can throw before running.,"It can happen that elements processed inside this bundle set timer, so it is technically better to check this before firing any timer. In practice it probably doesn't matter, because DirectRunner currently apparently doesn't fix bundles with timers and bundles with elements.",I'm assuming this was a bug?
