code,review,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
"public void testMissingPrimaryKeyLookupQuery() throws Exception { indexType2TweeterDocuments(); final Table table = dataContext.getDefaultSchema().getTableByName(DEFAULT_TABLE_NAME); final Column[] pks = table.getPrimaryKeys().toArray(new Column[0]); try (DataSet ds = dataContext.query().from(table).selectAll().where(pks[0]).eq(""missing"").execute()) { assertFalse(ds.next()); } }","Please use a better name (primaryKeys, primaryKeyColumns).","Please use a better name (primaryKeys, primaryKeyColumns).","Please use a better name (primaryKeys, primaryKeyColumns).",Let's add another one check with different type of columns with the same name,"We could try a recovery here, and verify that the index starts to accepts writes after that recovery. Also, in ReadOnlyIndex, we could throw an exception in getInitializationTask, and provide a mock implementation getRecoveryTaskSupport that enables writes. Note that forcing an exception during initialization would make us to miss the call to markIndexBuilt, so the index won't be added to SIM#queryableIndexes and it won't accepts reads independently of its ReadOnlyIndex#supportsLoad implementation. That's why I think we need some new logic in SIM#markIndexFailed too.",What about dumping the missing indices into a file ? The purpose should be creating an upgrade script - that would ease the process for the developer.,"I'd rather use a better name for ""ds"", everywhere (dataSet).","assertThat(imd != null ? imd.getName() : null, is(equalTo(expected.getName())));",Use DDL for IT case.,Would it make sense to reduce this to the columns that are relevant?,"Name it ""schema""? There is no other literal schema for this test case."
"public void loadJavaRDD() throws Exception { doReturn(javaPairRDD).when(sparkContext).newAPIHadoopFile(any(), any(), any(), any(), any()); doReturn(javaRDD).when(javaPairRDD).map(any()); JavaRDD<Country> retJavaRDD = SparkAvroLoader.loadJavaRDD(sparkContext, ""/avro/datastore"", Country.class); assertTrue(javaRDD == retJavaRDD); verify(sparkContext).newAPIHadoopFile( eq(""/avro/datastore""), eq(AvroKeyInputFormat.class), eq(Country.class), eq(NullWritable.class), configurationCaptor.capture()); assertEquals(Country.SCHEMA$.toString(), configurationCaptor.getValue().get(""avro.schema.input.key"")); verify(javaPairRDD).map(mapFunctionCaptor.capture()); assertMapFunction(mapFunctionCaptor.getValue()); verifyNoMoreInteractions(sparkContext, javaPairRDD); verifyZeroInteractions(javaRDD); }",Wouln't it be better to use the expected type instead of any()?,"Same goes, shall we assert the state too?",Put each on a separate line java .setMetastoreUris(null) .setHiveUserName(null));,tolerance?,This looks like testDataFormat(COMPONENT); Please see other tests for sample,I don't think setLenient(boolean) is needed. Based on the docs at <LINK_0> I think and have tested that the tests will work just fine without it. How about removing it ?,"NIT: Paths.get(""src"", ""hello.rs"")",why not use stripe-mock?,"I thought the correct behavior for Datasets was to reject a null type, not to default to Object.class. This will be required, right?",You could use try-with-resources to avoid explicit close here.,Shouldn't this fail?
"protected AuditMessageType getParticipantObjectIdentificationForRequest(PRPAIN201306UV02 request, AssertionType assertion, AuditMessageType auditMsg) { auditMsg = getPatientParticipantObjectIdentificationForResponse(request, auditMsg); try { auditMsg = getQueryParamsParticipantObjectIdentificationForResponse(request, auditMsg); } catch (JAXBException ex) { if (LOG.isDebugEnabled()) { LOG.error(""Error while creating ParticipantObjectIdentificationQueryByParameters segment : "" + ex.getLocalizedMessage(), ex); } } return auditMsg; }","Remove this ""if"" statement. That said, here are a few things for future reference: 1. You use ""is[Level]Enabled"" to check that specific level (e.g., if you're going to log trace, you'd check ""isTraceEnabled()"", not ""isDebugEnabled""). 2. There is no ""isErrorEnabled"" -- unless you disable logging altogether, it's always enabled. I suppose you could use ""isEnabledFor(Level.ERROR)"", but you'd only be checking if logging is on at all. 3. As a rule of thumb, unless the logging operation is extremely heavy (e.g., transforming a large object for the trace logs), you don't want to check if ""Info"" level or lower are enabled, only higher (debug, trace).","Since we're using an enhanced for loop, does checking .size() in advance gain us anything? Edit: Just kidding, I scrolled down and saw the ""else"".","You already log an error if JNDI lookup fails, as part of getAuditLogger() -- do we need this else statement?",Would it be simpler to write !HttpStatus.valueOf(responseCode).isError() ?,"Instead of assign and return, just return the last statement.",Do these need to be in separate if blocks?,"So you have default settingsfor userId and NetworkAccessPointId and NetworkAccessPointTypeCode, if an exception is thrown but not if the url is null. why is that?","You use this exact log message in the AuditLogger class, do we need a statement both places? If we do, can you make the message here (or in AuditLogger) more specific?","@Shirly: what exactly do you want in the logs: ID of the event type (for example 27) or NAME of the event type (in this case 'VDS_STATUS_CHANGE_FAILED_DUE_TO_STOP_SPM_FAILURE')? I'm asking because you've told me in the past that you cannot do any joins in Elastic Search, so if you want to allow filtering by event types, users wouldn't know what code is 27, but they probably may know what VDS_STATUS_CHANGE_FAILED_DUE_TO_STOP_SPM_FAILURE means ...",(don't say i'm bothering you) could you just replace this line by this.sendAuditLog(auditLogContextBuilder.build())? It's IMHO more proper. And this what the method is intended to do.,Can we check for empty string rather than do a length check here?
"private synchronized void addNode(DiscoveryDruidNode druidNode) { DiscoveryDruidNode prev = nodes.put(druidNode.getDruidNode().getHostAndPortToUse(), druidNode); if (prev == null) { for (DruidNodeDiscovery.Listener l : nodeListeners) { listenerExecutor.submit(() -> { try { l.nodeAdded(druidNode); } catch (Exception ex) { log.error(ex, ""Exception occured in DiscoveryDruidNode.nodeAdded(node=[%s]) in listener [%s]."", druidNode, l); } }); } } else { log.warn(""Node[%s] discovered but existed already [%s]."", druidNode, prev); } }",is it possible that getDruidNode() or getHostAndPortToUse() are null?,I think it might be better to add to the list first and then register the added stuff.,Formatting,this is no longer thread safe - as the node may have been removed. an update to a removed node should fail. (return false),Should we throw UnrecoverableCorfuInterruptedError here?,"It's unclear why we removed uninitializedNodeTypeListeners.remove(this) && uninitializedNodeTypeListeners.isEmpty(), was it redundant? If it was, it's unclear why.","Before that we notified on removed nodes after all types of nodes were initialized, now we just ignore?",return a boolean esp. given the semantics of the update operation if there is an existing node of the same name that is not the provided node instance,> 0?,"I would have moved this line after this.killNodeImpl(node, host); to be sure that a node is deleted and forgotten only if the runtime on the remote node has been really killed, otherwise the information at the Scheduler level may be wrong. Same apply for other infrastructures.","Best practice: Handle RuntimeExceptions coming from implementations, suppress and log them. Otherwise one plugin can break all other instances && node replacement flow"
"public Step variantsLoadStep() throws Exception { return stepBuilderFactory.get(LOAD_VARIANTS).<Variant, Variant>chunk(10) .reader(reader) .writer(variantMongoWriter) .faultTolerant().skipLimit(50).skip(FlatFileParseException.class) .listener(new SkippedItemListener()) .build(); }","We talked about setting a chunk size. Shall we make it 1000 and set it in JobOptions? I'm not very happy about that location but other things like includeSrc, compressGenotypes, etc, are placed there too.","can we remove this then? I think the main reason for the fault tolerance was those NO_VARIANTS, right?",VariantLoaderStepStatisticsListener would make the relationship between both classes more clear.,this line is longer than 120,"Is there any way we can do this update outside a step initialization, maybe in a @PostConstruct method?",The first argument should be expected value.,"There is no point testing this if the method is marked @NonNull. It becomes a compiler check instead of a ""unit test check"". This means we can remove this test altogether.","Actually I think it would be good to have them split, even if the class internally used is the same. Passing an aggregation mode ""NONE"" is a very implementation-specific detail, and it doesn't make much sense for a higher level layer.",assertNotEquals?,Better to call it getMigrationToVersion0_9_6 as it indicates that it will upgrade from what ever version you on to 0.9.6 version,"Replacing 1L with variantSourceEntities.size() will ensure that even if the collection size changes, the mocked data will make sense."
public int hashCode() { int result = name != null ? name.hashCode() : 0; result = 31 * result + zScore.hashCode(); return result; },Please implement equals() method either. This will remove the potential problem when working with collections.,fullName should be enough here too.,Could use Objects.hash(),|We can replace the hashcode implementation here with *Objects.hash(...)*.,Ditto for java.util.Objects.hash(Object...),"It looks like SketchHolder overrides equals but not hashCode. This is a bug, although I'm not sure if it has a visible effect in production before this patch (I can't think of anything offhand that would depend on SketchHolder's hash code being consistent with equals). But it does affect the correctness of this new class's equals/hashCode methods. So please fix SketchHolder in this patch - I think something that just delegates to the underlying Sketch's hashCode method would be enough.","I'd suggest to consider conventional hashCode implementation that is consistent with equals method - taking both entity and title into account, both of which can be null: final int prime = 31; int result = super.hashCode(); result = prime * result + ((getEntity() == null) ? 0 : getEntity().hashCode()); result = prime * result + ((getTitle() == null) ? 0 : getTitle().hashCode()); return result; (If two objects are equal according to the equals method, then calling the hashCode method on each of the two objects must produce the same integer result.)",Please check all your hashCode implementations. Please either return the hash code of a single referenced object or use HashCode.compute.,Doesn't Datanucleus advise against using id in hash?,"I think I saw this code in another PR this week, should it be standardized in a utility class or something?","This isn't correct; it defers to the default implementation of Object::hashCode, which will be different for different instances, but the contract of hashCode requires that two objects' hash codes be the same if equals is true. It would be better to return a constant."
"public Object execute(final ExecutionEvent event) throws ExecutionException { final TaskData data = getTaskData(event); if (data == null) return null; Job job = new Job(MessageFormat.format( Messages.RebasePullRequestHandler_RebaseJob, data.getTaskId())) { @Override protected IStatus run(IProgressMonitor monitor) { PullRequestComposite prComp = PullRequestConnector .getPullRequest(data); if (prComp == null) return Status.CANCEL_STATUS; PullRequest request = prComp.getRequest(); Repository repo = PullRequestUtils.getRepository(request); if (repo == null) return Status.CANCEL_STATUS; String branchName = PullRequestUtils.getBranchName(request); try { String target = request.getBase().getRef(); Ref targetRef = repo.findRef(request.getBase().getRef()); if (targetRef != null) { SubMonitor progress = SubMonitor.convert(monitor, 2); if (!PullRequestUtils.isCurrentBranch(branchName, repo)) { monitor.setTaskName(MessageFormat .format(Messages.RebasePullRequestHandler_TaskCheckout, branchName)); BranchOperationUI.checkout(repo, branchName).run( progress.split(1)); } else { progress.setWorkRemaining(1); } monitor.setTaskName(MessageFormat.format( Messages.RebasePullRequestHandler_TaskRebase, branchName, target)); new RebaseOperation(repo, targetRef) .execute(progress.split(1)); executeCallback(event); } } catch (IOException e) { GitHubUi.logError(e); } catch (CoreException e) { GitHubUi.logError(e); } return Status.OK_STATUS; } }; schedule(job, event); return null; }",one more progress monitor change,one more unrelated progress monitor change,Could you extract the body of this into its own method? It's not very readable here.,better: can't start rebase in repository state ...,This isn't the intended use of the API. You shouldn't use RepositoryStatus unless the error has a corresponding task repository.,how about this: new HashSet<Repository>(Arrays.asList(repos));,"As you said in the commit message this may open multiple dialogs. I tried the change with three repositories: one having uncommited changes and two that either pull cleanly or abort due to other reasons. After starting to pull, the CleanupUncomittedChangesDialog and a pull result dialog for the other two repositories popped up. The result dialog appeared in the foreground, but clicking its OK button did not close it. Only after closing the CleanupUncomittedChangesDialog (which was behind the result dialog) I could click OK on the result dialog.","This surely works. but testing _the same_ variable for multiple different cases should be done using switch-case instead of multiple if-then to make it more clear that the same variable is tested. Also since this is an enum, a switch case (without default branch) would immediately have shown the issue by a compiler error.",style nit: no braces around single line blocks,I'd use an ErrorDialog.openError and pass the status in there. This way people are not confronted with the JGit error message at first (only if they want to see the details) and they're able to copy the error message,here we should also show the exception which is the root cause of the problem -> use multistatus as this was done in RebaseHelper
"public boolean process(Set<? extends TypeElement> annotations, RoundEnvironment roundEnv) { try { for (Element autoMountElement : roundEnv.getElementsAnnotatedWith(SecureAutoMount.class)) { final AutoMountContext context = getAutoMountContext(autoMountElement, SecureAutoMount.class); if (context == null) { continue; } for (Element elem : roundEnv.getElementsAnnotatedWith(AuthorizeInstantiation.class)) { final AuthorizeInstantiation mp = elem.getAnnotation(AuthorizeInstantiation.class); processMountPoint(context, elem, mp); } for (Element elem : roundEnv.getElementsAnnotatedWith(MountPath.class)) { final MountPath mp = elem.getAnnotation(MountPath.class); processMountPoint(context, elem, mp); } generateSource(context); } return true; } catch (IOException ex) { Logger.getLogger(SecureMountAnnotationProcessor.class.getName()).log(Level.SEVERE, null, ex); } return true; }",return false ?,"is there any way to figure out what annotatiotion processors are in the compilation cycle? If so, it we should list them. If not: it seems that the error message needs to point more clearly to the underlying cause in a more generic way. something along the lines what you have now, but a hint that another ap (not generating classes) might be the problem.",why did you change this to return true? I think in general it is best to return false so other processors can use the annotations too,Debug?,"Only at the User specified mountpoint we should try to mount. There may be fallback mounting strategy, but this should be only done by explicit user request.",We're gonna want to validate that !providerInterfaces.isEmpty(),typo: Safe to _cast_,I'm not super familiar with this code - are all of the items called in process from the same package? Are there possibly more than one package per process call?,"Isn't it possible to use a specific drive letter for WebDAV? Hence, it could use the Custom drive letter chooser",I don't see why this branch on instanceof ItemNotFoundException is needed... both logs are the same.,suggestion if ((m.getLocation() == Entity.LOC_NONE) && !m.isOneShotAmmo() && (m.getCriticals() > 0)) {
"public void testFrameworkProducerDelete() throws Exception { setupFrameworkProducer(false); Exchange mockExchangeCreate = mock(Exchange.class); Exchange mockExchangeDelete = mock(Exchange.class); Message message = mock(Message.class); Metacard metacard = mock(MetacardImpl.class); when(metacard.getId()).thenReturn(""metacard1""); when(mockExchangeCreate.getIn()).thenReturn(message); when(mockExchangeCreate.getOut()).thenReturn(message); when(mockExchangeCreate.getIn().getHeader(OPERATION_HEADER_KEY)).thenReturn(CREATE_OPERATION); when(mockExchangeCreate.getIn().getHeader(TIMEOUT_HEADER_KEY)).thenReturn(1000L); when(mockExchangeCreate.getIn().getBody()).thenReturn(metacard); when(mockExchangeCreate.getIn().getBody(any())).thenReturn(metacard); frameworkProducer.process(mockExchangeCreate); when(mockExchangeDelete.getIn()).thenReturn(message); when(mockExchangeDelete.getOut()).thenReturn(message); when(mockExchangeDelete.getIn().getHeader(OPERATION_HEADER_KEY)).thenReturn(DELETE_OPERATION); when(mockExchangeDelete.getIn().getHeader(TIMEOUT_HEADER_KEY)).thenReturn(1000L); }",This test needs a verification.,This test needs a verification.,This won't do anything since metacard is a mock.,Why do we need to set MAX_BLOCK_MS_CONFIG?,Could you name this values in some final local variables?,"Is this message correct? It seems like the IDConverter is expected to at least remove/add leading slashes. I guess this might not really be conversion, though.","Source ids are supposed to be unique. CachingFederationStrategy doesn't really care, but it's not accurate to how the system is supposed to behave. I'd prefer to mock normal behavior by making these ids unique within the scope of each unit test.","isNull is rarely the right matcher. If null is being passed around it is most likely an artefact of the tests, rather than part of any contract. Generally, stubs should be as general and accepting as possible (so any(Class) rather than restricting to null values). Verifications should be as precise as necessary (so rarely use any, unlikely to us isNull).",Refactor the dispatch logic in a method in order not to duplicate code.,nit: the exception is no longer thrown.,Shoud
"protected void onCreate(Bundle savedInstanceState) { Log.d(TAG, ""onCreate""); requestWindowFeature(Window.FEATURE_INDETERMINATE_PROGRESS); requestWindowFeature(Window.FEATURE_ACTIVITY_TRANSITIONS); super.onCreate(savedInstanceState); PreferencesState.getInstance().onCreateActivityPreferences(getResources(), getTheme()); if (EyeSeeTeaApplication.permissions == null) { EyeSeeTeaApplication.permissions = Permissions.getInstance(this); } if (!EyeSeeTeaApplication.permissions.areAllPermissionsGranted()) { EyeSeeTeaApplication.permissions.requestNextPermission(); } initView(savedInstanceState); PreferencesState.getInstance().setPushInProgress(false); List<SurveyDB> surveyDBs = SurveyDB.getAllSendingSurveys(); Log.d(TAG, ""Surveys sending: "" + surveyDBs.size()); for (SurveyDB surveyDB : surveyDBs) { surveyDB.setStatus(Constants.SURVEY_QUARANTINE); surveyDB.save(); } AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); try { Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); } catch (InterruptedException e) { e.printStackTrace(); } mBaseActivityStrategy.onCreate(); }","this code is very strange, can you explain to me because is necessary?",Please make this translatable,"You don't need the variable here. You could directly return inflater.inflate(fragmentResource, container, false)","Did you think of moving the ""default"" for an option into the preferenceRepository? I see some benefit in case we use the preference in different locations, and also if it is not set, the SettingsActivity will need to show something. And I currently don't see a use case for having different defaults in those cases. Yes, the SharedPreferences stuff from Android is using the same approach, but there it is different, as that class is not under our control....",This URL is also defined in Const.java file. I think this and the below one should only be defined in Const.java.,"Was this extra just for the version where the whole maps preference screen was opened from widgets, by any chance? (and can it be removed?)",Please rename the xml file to preferences_notifications (plural). I think that reads a bit better. The Java class name is fine as-is,Please respect owner naming convention ^^,Please rename this layout file as well removing _new_api.,use getResources() directly,"listView.setHasFixedSize(true);  listView -> recyclerView? Also, you can take <LINK_0> and  RecyclerView.ItemDecoration itemDecoration = new DividerItemDecoration(getActivity(), null); listView.addItemDecoration(itemDecoration);"
