code,review,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
"public void testMissingPrimaryKeyLookupQuery() throws Exception { indexType2TweeterDocuments(); final Table table = dataContext.getDefaultSchema().getTableByName(DEFAULT_TABLE_NAME); final Column[] pks = table.getPrimaryKeys().toArray(new Column[0]); try (DataSet ds = dataContext.query().from(table).selectAll().where(pks[0]).eq(""missing"").execute()) { assertFalse(ds.next()); } }","Please use a better name (primaryKeys, primaryKeyColumns).","@c is not used here, I think you meant for it to be.",Is this test really testing much? It doesn't assert that the result is not a failure: !(result instanceof Failed) for instance.,"Like I mentioned to others, try-catch-fail is not a good option. JUnit automatically populates exception to user and fails the test. If exception occurs, user will now get a bland message and not the stack trace of the problem. There is nothing we can assert here?",style nit: no braces around single line,"just to be sure there is no index/dictionary involved: final ReferenceSequenceFile reference = new FastaSequenceFile(new File(TEST_DATA_DIR, ""nm_tag_validation.fa""), true); final SamReader samReader = SamReaderFactory. makeDefault(). validationStringency(ValidationStringency.SILENT). referenceSource(new ReferenceSource(reference)). ...",Exception can be included as a separate parameter.,"There's a lot going on in this class, it creates subscriptions, spawns SelectiveSupervisorControllers, makes assertions. Maybe we could separate this work to different classes.","It's not safe, because if this was the last tag for this entry, this entry will be removed, but I understand you don't like the boolean in the signature of the method. I changed the method that it always removes tags only from children and where it's necessary I added removing the tag from current entry. Should be more clear now.",consider extracting to a method as this code is similar to BaseImagesCommand. have a nice day :),"Maybe having such method would be nicer: buildUser(T params, String authzName) { boolean externalSsoEnabled = EngineLocalConfig.getInstance().getBoolean(""ENGINE_SSO_ENABLE_EXTERNAL_SSO""); buildUser(externalSsoEnabled , params, authzName) { }"
"public void loadJavaRDD() throws Exception { doReturn(javaPairRDD).when(sparkContext).newAPIHadoopFile(any(), any(), any(), any(), any()); doReturn(javaRDD).when(javaPairRDD).map(any()); JavaRDD<Country> retJavaRDD = SparkAvroLoader.loadJavaRDD(sparkContext, ""/avro/datastore"", Country.class); assertTrue(javaRDD == retJavaRDD); verify(sparkContext).newAPIHadoopFile( eq(""/avro/datastore""), eq(AvroKeyInputFormat.class), eq(Country.class), eq(NullWritable.class), configurationCaptor.capture()); assertEquals(Country.SCHEMA$.toString(), configurationCaptor.getValue().get(""avro.schema.input.key"")); verify(javaPairRDD).map(mapFunctionCaptor.capture()); assertMapFunction(mapFunctionCaptor.getValue()); verifyNoMoreInteractions(sparkContext, javaPairRDD); verifyZeroInteractions(javaRDD); }",Wouln't it be better to use the expected type instead of any()?,can't this be defined as a List<DiskImage> ?,"you've change order of expected and actual (error string will be wrong in case of fail) to not repeat this mistake simply use assertThat(actual, matcherForIt()) - thats more friendly to any reviewer or maintaineer","Would be nice for the test to pass without modifications, to show backwards compatibility.","There's a lot going on in this class, it creates subscriptions, spawns SelectiveSupervisorControllers, makes assertions. Maybe we could separate this work to different classes.",@tadamski If you cache this FilePermission in the containing FileSystemXAResourceRecoveryRegistry object you will save a per-transaction objection creation/gc.,Why is isEmpty() treated special here? Why is it possible for the hash to be empty?,not sure how often this can be logged so maybe change the level to debug and also log the event that is being ignored?,"Maybe having such method would be nicer: buildUser(T params, String authzName) { boolean externalSsoEnabled = EngineLocalConfig.getInstance().getBoolean(""ENGINE_SSO_ENABLE_EXTERNAL_SSO""); buildUser(externalSsoEnabled , params, authzName) { }",Change doesn't belong to this PR,"nit: The metric is millis, not seconds"
"protected AuditMessageType getParticipantObjectIdentificationForRequest(PRPAIN201306UV02 request, AssertionType assertion, AuditMessageType auditMsg) { auditMsg = getPatientParticipantObjectIdentificationForResponse(request, auditMsg); try { auditMsg = getQueryParamsParticipantObjectIdentificationForResponse(request, auditMsg); } catch (JAXBException ex) { if (LOG.isDebugEnabled()) { LOG.error(""Error while creating ParticipantObjectIdentificationQueryByParameters segment : "" + ex.getLocalizedMessage(), ex); } } return auditMsg; }","Remove this ""if"" statement. That said, here are a few things for future reference: 1. You use ""is[Level]Enabled"" to check that specific level (e.g., if you're going to log trace, you'd check ""isTraceEnabled()"", not ""isDebugEnabled""). 2. There is no ""isErrorEnabled"" -- unless you disable logging altogether, it's always enabled. I suppose you could use ""isEnabledFor(Level.ERROR)"", but you'd only be checking if logging is on at all. 3. As a rule of thumb, unless the logging operation is extremely heavy (e.g., transforming a large object for the trace logs), you don't want to check if ""Info"" level or lower are enabled, only higher (debug, trace).","BTW: if ""getEntity()"" either returns the result or throws a WebApplicationException exception with ""NOT_FOUND"" status, the code can be simplified to always ""return true"" at the end and no need in ""unregisteredDisk"" local variable at all.","Since you are appending the exception in the logging statement, you do not have to then print the stack trace. This will actually result in the stack being printing twice, depending on how the logger is configured.",Can this be overloaded to avoid the casts?,Prefer ActionParameters.getRequiredParamLong(PARAM_ID) instead. If the id is not a long we don't want to fail with ActionDeniedException but with a ActionParamsExcepton instead.,is it possible that getDruidNode() or getHostAndPortToUse() are null?,This string should go into the messages.properties file.,Is error the right log level here? Seems like warn or even info would be more appropriate.,You should test for both instructor and student?,We should process data from this report before validating again.,"trace seems too low, how often will this happen?"
"private synchronized void addNode(DiscoveryDruidNode druidNode) { DiscoveryDruidNode prev = nodes.put(druidNode.getDruidNode().getHostAndPortToUse(), druidNode); if (prev == null) { for (DruidNodeDiscovery.Listener l : nodeListeners) { listenerExecutor.submit(() -> { try { l.nodeAdded(druidNode); } catch (Exception ex) { log.error(ex, ""Exception occured in DiscoveryDruidNode.nodeAdded(node=[%s]) in listener [%s]."", druidNode, l); } }); } } else { log.warn(""Node[%s] discovered but existed already [%s]."", druidNode, prev); } }",is it possible that getDruidNode() or getHostAndPortToUse() are null?,"CompletableFuture.runAsync() uses the common pool which isn't the best option for a potentially long blocking call like Producer.flush(). Even if we provide our own thread pool to runAsync(), the CompletableFuture we'll get won't give us a way to interrupt a Producer.flush() call that exceeds the allowed timeout, which is necessary to free up the thread-pool thread in question. This is because calling cancel(true) on a CompletableFuture returned by runAsync() only causes a cancellation exception to be propagated without interrupting the blocked thread pool. I'm afraid our only option here seems to be using an ExecutorService directly java // It's okay to use a single thread executor since flush() is synchronized ExecutorService executor = Executors.newSingleThreadExecutor(); Future<?> future = executor.submit(() -> super.flush()); try { // Block until timeout elapses future.get(_flushTimeout, TimeUnit.MILLISECONDS); } catch (TimeoutException e) { ... // Interrupt the Producer.flush() call to free up the blocked thread future.cancel(true); ... }",I think we need to maintain the backwards compatibility for the old skewl setSpeed . our new proper method is setVelocity which takes a double that specifies the angular velocity of the servo that we will try to achieve.,Prefer ActionParameters.getRequiredParamLong(PARAM_ID) instead. If the id is not a long we don't want to fail with ActionDeniedException but with a ActionParamsExcepton instead.,Style-nit: Unnecessary blank line.,instead you could use the try-with-resource paradigm,"BTW: if ""getEntity()"" either returns the result or throws a WebApplicationException exception with ""NOT_FOUND"" status, the code can be simplified to always ""return true"" at the end and no need in ""unregisteredDisk"" local variable at all.","this code block (if in L54-L59) can be encapsulated into a method to avoid duplicate in onJobFinished(), something like boolean tryExecute() that returns whether the job execution was successful","trace seems too low, how often will this happen?","This is debug at best, probably trace, and should include the spec/nodeTemplate in question. One to tweak subsequently.",We should process data from this report before validating again.
"public Step variantsLoadStep() throws Exception { return stepBuilderFactory.get(LOAD_VARIANTS).<Variant, Variant>chunk(10) .reader(reader) .writer(variantMongoWriter) .faultTolerant().skipLimit(50).skip(FlatFileParseException.class) .listener(new SkippedItemListener()) .build(); }","We talked about setting a chunk size. Shall we make it 1000 and set it in JobOptions? I'm not very happy about that location but other things like includeSrc, compressGenotypes, etc, are placed there too.",Can be inlined in the assertThat statement below.,"emmmm i dont feel this replacement is necessary...and it might change what the code intends to do, as put will replace the value corresponding to the question even if the question is already associated with a value, but putIfAbsent only associate question with the new ArrayList<>() if the question is not associated to anything.",Lets re-throw this as a RuntimeException instead.,I'd increment a counter and assert its 1.,Static import the assertion methods,Maybe change this to assertThat(downloader).isInstanceOf(OkHttpDownloader.class) ?,"After taking a second look, i think we do not need this call at all. All those check of ensure that a service is not started before schedule, etc, belong to the service layer API. Your role is to simply call Context.getSchedulerService().scheduleTask(task) and that is all.",Is there a need to read the prop file for every request?,For test stability we maintain the previous quiet period of 0. But live behavior will change.,"DynamicSet.bind(binder(), WebUiPlugin.class).toInstance(...)"
public int hashCode() { int result = name != null ? name.hashCode() : 0; result = 31 * result + zScore.hashCode(); return result; },Please implement equals() method either. This will remove the potential problem when working with collections.,I still think you should throw an exception if name is null,"Both old an new logic expect cachedCompare to be within the range [1, size] for cached path. The previous logic generated the cachedCompare like Java cachedCompare = res < 0 ? ~res : res + 1;  Here the Java cachedCompare = res < 0 ? ~res : res - 1;  is used. When entry isn't found ~res produces values within the range [0, size], this range is wider than the expected range, so the fallback to default may be unexpectedly used by both old and new code. When an entry is found, old res + 1 produced values within the range [1, size], it was correct. This range is expected and cachedCompare - 1 is actually used, so res + 1 - 1 = res (previous entry) was used as the starting point. When an entry is found, new res - 1 produces the values within the range [-1, size - 2], it looks like off-by-two error. So one of two paths was buggy and now both paths are buggy (suboptimal). Maybe I'm missing something, please re-check. (~something == -something - 1)",No parens on condition.,rename to message,you could just do setConfirmWindow(null); like above method,"suggestion ""\narmed="" + m_armed;",@doom369 just wondering if we should call encodeToString  directly. WDYT ?,For test stability we maintain the previous quiet period of 0. But live behavior will change.,Small detail: missing this.. See the line you replaced for ex.,"This is very fragile, and will break when we add new storage type. Better check for the storage types (block or file?). Also, this change is possible only when creating volumes with vdsm supporting deferred preallocation, or it may cause very bad performance regression when creating big raw images. This is probably not the place to do these checks, we probably need to modify the code creating new volumes, or the code creating and copying volumes."
"public Object execute(final ExecutionEvent event) throws ExecutionException { final TaskData data = getTaskData(event); if (data == null) return null; Job job = new Job(MessageFormat.format( Messages.RebasePullRequestHandler_RebaseJob, data.getTaskId())) { @Override protected IStatus run(IProgressMonitor monitor) { PullRequestComposite prComp = PullRequestConnector .getPullRequest(data); if (prComp == null) return Status.CANCEL_STATUS; PullRequest request = prComp.getRequest(); Repository repo = PullRequestUtils.getRepository(request); if (repo == null) return Status.CANCEL_STATUS; String branchName = PullRequestUtils.getBranchName(request); try { String target = request.getBase().getRef(); Ref targetRef = repo.findRef(request.getBase().getRef()); if (targetRef != null) { SubMonitor progress = SubMonitor.convert(monitor, 2); if (!PullRequestUtils.isCurrentBranch(branchName, repo)) { monitor.setTaskName(MessageFormat .format(Messages.RebasePullRequestHandler_TaskCheckout, branchName)); BranchOperationUI.checkout(repo, branchName).run( progress.split(1)); } else { progress.setWorkRemaining(1); } monitor.setTaskName(MessageFormat.format( Messages.RebasePullRequestHandler_TaskRebase, branchName, target)); new RebaseOperation(repo, targetRef) .execute(progress.split(1)); executeCallback(event); } } catch (IOException e) { GitHubUi.logError(e); } catch (CoreException e) { GitHubUi.logError(e); } return Status.OK_STATUS; } }; schedule(job, event); return null; }",one more progress monitor change,"I don't think one should convert the same monitor multiple times. Use SubMonitor progress = SubMonitor.convert(actMonitor, projectsToCreate.size() * 2 + 1); at the top and then use only progress, not actMonitor, and use progress.newChild(1) here and below.","verifyExceptionMatch() blocks on future.get(), so isDone() will always be true when you're here, no? Also, if the callback was received, then we should ensure that future.get() returns immediately as well, so shouldn't it be a timed get within verifyExceptionMatch()?",EnumMachineAlpha.STEAM_OVEN.getState()?,Needs quotes around the msbuild command,The exception name is not clear,debug logging should not change the applicationflow. getAttributesOrThrow would. getAttributesOrDefault is better I think,you should use res.isWorseThan(Result.SUCCESS) instead. <LINK_0>,"Maybe having such method would be nicer: buildUser(T params, String authzName) { boolean externalSsoEnabled = EngineLocalConfig.getInstance().getBoolean(""ENGINE_SSO_ENABLE_EXTERNAL_SSO""); buildUser(externalSsoEnabled , params, authzName) { }","Rather than iterate over the whole model twice, just use the Resource interface to nagivate through child resources once.","Would be good to have constants for the builder types, right now they are hard-coded strings like ""DB"", ""Task"". WDYT?"
"public boolean process(Set<? extends TypeElement> annotations, RoundEnvironment roundEnv) { try { for (Element autoMountElement : roundEnv.getElementsAnnotatedWith(SecureAutoMount.class)) { final AutoMountContext context = getAutoMountContext(autoMountElement, SecureAutoMount.class); if (context == null) { continue; } for (Element elem : roundEnv.getElementsAnnotatedWith(AuthorizeInstantiation.class)) { final AuthorizeInstantiation mp = elem.getAnnotation(AuthorizeInstantiation.class); processMountPoint(context, elem, mp); } for (Element elem : roundEnv.getElementsAnnotatedWith(MountPath.class)) { final MountPath mp = elem.getAnnotation(MountPath.class); processMountPoint(context, elem, mp); } generateSource(context); } return true; } catch (IOException ex) { Logger.getLogger(SecureMountAnnotationProcessor.class.getName()).log(Level.SEVERE, null, ex); } return true; }",return false ?,Please check [our guidelines](<LINK_0> on source code style.,"File(planStorePath, queryId + "".plan"")","I'm not sure about that generating the key like this will be unique: from how I see it, if we call the method with [1,2], we will end up with the same key (""12"") as asking for the 12th parameter with the list [12]. (I know this is pretty unlikely, but still...)",Minor: you can extract this null check and the in-memory format/eviction policy check into a static method and invoke it from here and other implementations of ForcedEviction,This could throw a NPE if options has timeseries but not metadata under it.,"This is too aggressive :( The iterator is not released after a call ended because it might not be fully read. If I'm not wrong, setting it to null would cause infinite loop when result row count is large enough.",This could be replaced with java context.getData(AZURE_REQUEST_HTTP_HEADERS_KEY).ifPresent(headers -> { // for loop over headers });,"@unyoungwax, oops missed this, but consider prefixing this boolean with <code>is...</code>","This is debug at best, probably trace, and should include the spec/nodeTemplate in question. One to tweak subsequently.",are there Exceptions other than RuntimeExceptions?
"public void testFrameworkProducerDelete() throws Exception { setupFrameworkProducer(false); Exchange mockExchangeCreate = mock(Exchange.class); Exchange mockExchangeDelete = mock(Exchange.class); Message message = mock(Message.class); Metacard metacard = mock(MetacardImpl.class); when(metacard.getId()).thenReturn(""metacard1""); when(mockExchangeCreate.getIn()).thenReturn(message); when(mockExchangeCreate.getOut()).thenReturn(message); when(mockExchangeCreate.getIn().getHeader(OPERATION_HEADER_KEY)).thenReturn(CREATE_OPERATION); when(mockExchangeCreate.getIn().getHeader(TIMEOUT_HEADER_KEY)).thenReturn(1000L); when(mockExchangeCreate.getIn().getBody()).thenReturn(metacard); when(mockExchangeCreate.getIn().getBody(any())).thenReturn(metacard); frameworkProducer.process(mockExchangeCreate); when(mockExchangeDelete.getIn()).thenReturn(message); when(mockExchangeDelete.getOut()).thenReturn(message); when(mockExchangeDelete.getIn().getHeader(OPERATION_HEADER_KEY)).thenReturn(DELETE_OPERATION); when(mockExchangeDelete.getIn().getHeader(TIMEOUT_HEADER_KEY)).thenReturn(1000L); }",This test needs a verification.,"I think you should be able to use Tasks.forResult(new FakeAuthResult(mockFirebaseUser)) instead of a mock object without consequence here, it should be more readable.",@pecko let's also assert it does not contain the other string.,EnumMachineAlpha.STEAM_OVEN.getState()?,"There's a lot going on in this class, it creates subscriptions, spawns SelectiveSupervisorControllers, makes assertions. Maybe we could separate this work to different classes.","you've change order of expected and actual (error string will be wrong in case of fail) to not repeat this mistake simply use assertThat(actual, matcherForIt()) - thats more friendly to any reviewer or maintaineer",Why is this needed?,"Maybe having such method would be nicer: buildUser(T params, String authzName) { boolean externalSsoEnabled = EngineLocalConfig.getInstance().getBoolean(""ENGINE_SSO_ENABLE_EXTERNAL_SSO""); buildUser(externalSsoEnabled , params, authzName) { }","Does it matter that ""firstName"" and ""lastName"" are still the keys here? Probably should be full and friendly anyway?","Would be good to have constants for the builder types, right now they are hard-coded strings like ""DB"", ""Task"". WDYT?","nit: The metric is millis, not seconds"
"protected void onCreate(Bundle savedInstanceState) { Log.d(TAG, ""onCreate""); requestWindowFeature(Window.FEATURE_INDETERMINATE_PROGRESS); requestWindowFeature(Window.FEATURE_ACTIVITY_TRANSITIONS); super.onCreate(savedInstanceState); PreferencesState.getInstance().onCreateActivityPreferences(getResources(), getTheme()); if (EyeSeeTeaApplication.permissions == null) { EyeSeeTeaApplication.permissions = Permissions.getInstance(this); } if (!EyeSeeTeaApplication.permissions.areAllPermissionsGranted()) { EyeSeeTeaApplication.permissions.requestNextPermission(); } initView(savedInstanceState); PreferencesState.getInstance().setPushInProgress(false); List<SurveyDB> surveyDBs = SurveyDB.getAllSendingSurveys(); Log.d(TAG, ""Surveys sending: "" + surveyDBs.size()); for (SurveyDB surveyDB : surveyDBs) { surveyDB.setStatus(Constants.SURVEY_QUARANTINE); surveyDB.save(); } AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); try { Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); Thread.sleep(100); AlarmPushReceiver.setPushAlarm(this); AlarmPushReceiver.setPushAlarm(this); } catch (InterruptedException e) { e.printStackTrace(); } mBaseActivityStrategy.onCreate(); }","this code is very strange, can you explain to me because is necessary?","There's a lot going on in this class, it creates subscriptions, spawns SelectiveSupervisorControllers, makes assertions. Maybe we could separate this work to different classes.",This seems redundant.,Why is isEmpty() treated special here? Why is it possible for the hash to be empty?,"I don't think one should convert the same monitor multiple times. Use SubMonitor progress = SubMonitor.convert(actMonitor, projectsToCreate.size() * 2 + 1); at the top and then use only progress, not actMonitor, and use progress.newChild(1) here and below.","Strange to use an XMIException here, which would imply something is corrupted at the XMI level, which is not the case. Especially since there is a AirdResourceVersionMismatchException defined in the same patch which implements Resource.Diagnostic.",EnumMachineAlpha.STEAM_OVEN.getState()?,m,you removed the ones on top but kept the brackets here?,Needs quotes around the msbuild command,This leaves ActivityLauncher.newGalleryPost() unused - I think we should probably clean that up too.
