code,review,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10
"@@ -595,8 +595,10 @@ namespace Kratos array_1d<double, 3> b = ZeroVector(3); b[0] = 1.0; - const array_1d<double, 3> c = MathUtils<double>::CrossProduct(a, b); - const array_1d<double, 3> d = MathUtils<double>::UnitCrossProduct(a, b); + array_1d<double, 3> c, d; + + MathUtils<double>::CrossProduct(c, b, a); + MathUtils<double>::UnitCrossProduct(d, b, a); KRATOS_CHECK_EQUAL(c[2], 2.0); KRATOS_CHECK_EQUAL(d[2], 1.0); ",I assumed that for CrossProduct the values were inverted as well... Is that right?,I assumed that for CrossProduct the values were inverted as well... Is that right?,Remove the cast,Avoid variables with short names like $b. Configured minimum length is 3.,"You can remove these too. Below do: `var northEast = projection.project(cart, viewExtentCVNorthEast);` and remove `position`. Same thing for `southWest`.",Whats going on here? `((X * Y)/Z) * Z` = `X * Y` is it not?,Please put the `Trim` inside `FoldToASCII`,Did something change with Lucene's support for wildcards? What's the behavior if you search with a wildcard at the beginning of your search?,"This configures Jackson to exclude `null`, `Optional.empty()` and empty collections when serializing.","I would suggest to use pipelineCreationAllowed as the internal state name, it makes the code easier to read out as I I see. I know this is a regular getter and and setter pair, but... In the tests, the set method is always called with true as the parameter, so I suggest to call this method simply allowPipelineCreation() without a parameter, the getter part of the pair in this case can be called as isPipelineCreationAllowed(). This suggestion is simply about expressions from the usage point of view, and I don't have a strong opinion on this, however if we want to keep this name and want to name it as a regular getter setter as it is suggested by the books then we should use isAllowPipelineCreation as the getter name.",shouldnt this be `$localStorage.authenticationToken` ? @cicoub13
"@@ -22,8 +22,13 @@ For internal use only; no backwards-compatibility guarantees.  +from __future__ import absolute_import + import sys import traceback +from builtins import next +from builtins import object +from builtins import zip import six ","I think we should we avoid `import six` for consistency with the approach followed elsewhere. What do you think, @RobbeSneyders ? Looks like we are using `six.reraise` in a few places and `six.text_type` in apiclient.py.","I think we should we avoid `import six` for consistency with the approach followed elsewhere. What do you think, @RobbeSneyders ? Looks like we are using `six.reraise` in a few places and `six.text_type` in apiclient.py.",We cannot know what the WHERE clause is for stream pull queries since it's not analyzed by the logical plan,"This line doesn't actually do anything, because you're just importing a submodule into a place it was already accessible. Before this line, I could do `from allennlp.semparse.contexts import atis_tables` in code outside of `semparse`, and this line lets me do exactly the same thing. In contrast, the line above takes something that was only accessible in a submodule and makes it accessible here. So before, you had to do `from allennlp.semparse.contexts.table_question_knowledge_graph import TableQuestionKnowledgeGraph`, and after, you can do `from allennlp.semparse.contexts import TableQuestionKnowledgeGraph`.",Please don't include general cleanup in otherwise unrelated files in your PR.,You'll need another blank line after this to get the flake8 and isort checks to pass.,"Perhaps instead of adding a new call for is_thrift, this could move to a different pattern. Maybe it could look for the class instead via isinstance. It looks like the deprecation plan for the associated `is_*` methods involved types via marker mixins.",Do we get any benefit from only putting `type: ignore` for `SSL` if there is a stub for `crypto`?,The `TopTags` at the beginning of the file is now unused and can be removed as well.,TIL! Assume this is shorthand for `Time.zone.now..7.days.ago`?,"_I think_ this is the correct way to freeze this array, but I'm open to any suggestions to improve it (or fix it altogether if I'm not even close to how it should be   )"
"@@ -25,13 +25,16 @@ module View def should_render_revenue? revenue = @tile.revenue_to_render + # special case: city with multi-revenue - no choice but to draw separate revenue + return true if revenue.any? { |r| !r.is_a?(Numeric) } + return false if revenue.empty? return false if revenue.first.is_a?(Numeric) && (@tile.cities + @tile.towns).one? return false if revenue.uniq.size > 1 - return false if @tile.cities.sum(&:slots) < 3 && @tile.stops.size == 2 + return false if @tile.cities.sum(&:slots) < 3 && (@tile.cities + @tile.towns).size == 2 true end ","we call cities + towns . size a lot, maybe make a helper method on tiles","we call cities + towns . size a lot, maybe make a helper method on tiles","so one thing to note is that avialble_hex should return an array of edges, what you have now is a boolean which is hacky and sort of works, but is not consistent with how this method is used elsewhere",Metrics/LineLength: Line is too long. [122/120],I think this can be done via `get_language_info` `i18n` templatetag,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.,"Here the same, I would make separate methods `check_leave_team_permission` and `check_manage_user_team_permission`.",Isn't `admin` fabricated earlier?,Is this named correctly?,"I changed this error message because I feel the main piece of information is the link that was passed in, not the syntax for the liquid tag.",I would change this date to the actual date this will hit production.
"@@ -947,6 +947,7 @@ out: D_ERROR(pool DF_UUID event %d failed: rc %d\n, DP_UUID(svc->ps_uuid), src, rc); daos_prop_fini(&prop); +#endif } static void ",This will be removed.,This will be removed.,Same here regarding line 614,This assumes that nodename has a null byte at _UTSNAME_LENGTH - 1. It should be followed with buf->nodename[_UTSNAME_LENGTH - 1] = '\0'; to be safe.,NULL check not needed.,The NULL check isn't necesary.,I'd be nice to indent this line.,"Hmm, reinit is called somewhere else as well, but reinited = 1 is only set here. probably io_retried is clearer here. Or I miss sth?",mismerge? this seems to be duplicate.,"The `millis()` function should only return 0 before the timer starts, and then only once every 49 days. And of course, 0xFFFFFFFF + 1 is also 0.",Renaming this variable `arch` and flipping the values/logic in the surrounding code would make this a bit less confusing. Double negatives FTL where avoidable
"@@ -160,6 +160,11 @@ func (r *routeBuilder) profileHandler() (request.Handler, error) { return middleware.Wrap(h, backendMiddleware(r.cfg, r.authenticator, r.ratelimitStore, profile.MonitoringMap)...) } +func (r *routeBuilder) firehoseLogHandler() (request.Handler, error) { + h := firehose.Handler(r.batchProcessor, r.authenticator) + return middleware.Wrap(h, firehoseMiddleware(r.cfg, intake.MonitoringMap)...) +} + func (r *routeBuilder) backendIntakeHandler() (request.Handler, error) { requestMetadataFunc := emptyRequestMetadata if r.cfg.AugmentEnabled { ",nit: `firehoseLogHandler` vs. `firehoseMiddleware` looks like a naming inconsistency? (`log` is not used anywhere else).,nit: `firehoseLogHandler` vs. `firehoseMiddleware` looks like a naming inconsistency? (`log` is not used anywhere else).,I think a better place for this would be inside of `broadcaster#Start()`,pre-existing bug. We should split this function into `maybeStale` and `active` like in user_ek -- the `getServerMaxDeviceEK` is busted if the latest key is stale.,This log line was added by me. I think it won't hurt but it simplifies a debugging process.,not needed because it's not a pointer on a slice.,can we renamed the field itself also to data? Otherwise we have inception below :-),"@CecileRobertMichon do you have any thoughts on doing this override here? Is this preferable to the pattern we have currently, where we pass along upgrade context through the code flow and do upgrade-specific mutations during defaults enforcement?",Shouldn't we be returning the error if there is an error here? I noticed you have a todo below to find out why the statement below is running when there is an error.,why doesn't this try calling t.getAdminPermission()?,we already implement `String` on proxyURL. No need to change that line.
"@@ -416,7 +416,8 @@ class GradeEntryFormsController < ApplicationController end end - #If the request is a post type and the abort flag is down (operation can continue) + # If the request is a post type and the abort flag is down + # (operation can continue) if request.post? && !abort_upload grades_file = params[:upload][:grades_file] begin ",Trailing whitespace detected.,Trailing whitespace detected.,Metrics/LineLength: Line is too long. [122/120],"Here the same, I would make separate methods `check_leave_team_permission` and `check_manage_user_team_permission`.","this 'resend email confirmation' link is not currently in designs, hence the removal -- will discuss with ryan t and figure out where we can slide it...",why do you do this?,Is this named correctly?,Line is too long. [117/80],"_I think_ this is the correct way to freeze this array, but I'm open to any suggestions to improve it (or fix it altogether if I'm not even close to how it should be   )","so one thing to note is that avialble_hex should return an array of edges, what you have now is a boolean which is hacky and sort of works, but is not consistent with how this method is used elsewhere",Favor modifier unless usage when having a single-line body. Another good alternative is the usage of control flow &&/||.
"@@ -40,6 +40,8 @@ import org.sonar.plugins.java.api.semantic.Symbol; public class BytecodeCompleter implements JavaSymbol.Completer { + public static final int ASM_API_VERSION = Opcodes.ASM7_EXPERIMENTAL; + private Symbols symbols; private final ParametrizedTypeCache parametrizedTypeCache; private final SquidClassLoader classLoader; ",Confirmed the issue on SQ side.,Confirmed the issue on SQ side.,"There are methods in IUIContext, no?","This will be created regardless of migration actually happening, can we `new` only in `SettingsMigrationEventArgs.EventStatusType.Begin`?",Do you really need to mkdirs() here? I would think you just need `project.prepare()` which will make that target folder if necessary. Can you try that instead?,This must be renamed as soon as LibraryUI introduces class with identical name `SearchCategory`.,"Term `noteIndex` is little bit confusing for me. Since you are working on naming, how about changing it into `noteSearchService`?",Any thoughts to inline this directly? I think that might be a bit more direct.,"What do you think about moving this out of the interface? I think the implementation is inconsistent with other pre-flight checks. The MongoDB and Elasticsearch services don't implement checks this way, and potential plugin checks do neither.",No need to add this since `EventListenerManager` doesn't have any `@Managed` annotations.,Can we rename `AVRO_SCHEMA_FULL_NAME` to `DEFAULT_AVRO_SCHEMA_FULL_NAME` please?
"@@ -359,6 +359,8 @@ function annotate(fn, strictDi, name) { * * {@link auto.$provide#service service(class)} - registers a **constructor function**, `class` * that will be wrapped in a **service provider** object, whose `$get` property will instantiate * a new object using the given constructor function. + * * {@link auto.$provide#decorator decorator(name)} - registers a **service decorator** with the + * {@link auto.$injector $injector}, `name` the name of the service to decorate. * * See the individual methods for more information and examples. */ ","service decorator is not correct, as not only services can be decorated. You should call it **decorator function**. In the function signature, the decorator fn is also missing: decorator(name, decoratorFn)","service decorator is not correct, as not only services can be decorated. You should call it **decorator function**. In the function signature, the decorator fn is also missing: decorator(name, decoratorFn)",I would keep the `@return null|array` for other tooling than phpstan,"This change supports the new hangup button in the new toolbar, which will call this action directly instead of emitting out through APP.UI.emitEvent. On hang up feedback should be requested.","What type is `NumberHandling`? Isn't it an enum value, how can it be null?",The name bookkeeping feels a bit unusual here for a public facing thing. Should it be `PULUMI_HOME_DIR`? or `PULUMI_HOME`?,When implementing my own debug mode VS suggested; internal bool ExperimentalSearch { get; set; } = false;,"I'd put this method in a PR with at least one usage of it - inClientSpan / withClientSpan are quite clear here, but not this method which isn't used. One way to keep PRs small is to change just one usage in one PR, and remaining usages in a mechanical way in another.",Can you explain why this change is not present in master and 10.10?,"If you remove `visit_mypy_file` from the class (I think that it's unused), this will be completely reasonable, since this will be reference to something outside the AST node we are transforming.",assign the guid to the annotation GUID on deserialize.
"@@ -158,6 +158,8 @@ def get_supported(versions=None, noarch=False): abis.append('none') + arches = [] + if not noarch: arch = get_platform() if sys.platform == 'darwin': ",Renaming this variable `arch` and flipping the values/logic in the surrounding code would make this a bit less confusing. Double negatives FTL where avoidable,Renaming this variable `arch` and flipping the values/logic in the surrounding code would make this a bit less confusing. Double negatives FTL where avoidable,@mdorier can you condition this on whether `self.run_tests` is `True`? by default it will be off. Otherwise I think the result may be unexpected given the python test dependency.,why do you do this?,"ouch sorry guys this is my bad, I didn't know how to do this in a portable way :/ Would you say this is a good solution?",Do you really need to mkdirs() here? I would think you just need `project.prepare()` which will make that target folder if necessary. Can you try that instead?,Remove the entire condition.,I'm not sure I like the name of this key here...,use lower case? `Type` -> `type`,Whats going on here? `((X * Y)/Z) * Z` = `X * Y` is it not?,this should use `shlex.quote`
"@@ -641,8 +641,10 @@ public class DoFnOperator<InputT, OutputT> @Override public final void processElement(StreamRecord<WindowedValue<InputT>> streamRecord) { checkInvokeStartBundle(); + long oldHold = keyCoder != null ? keyedStateInternals.minWatermarkHoldMs() : -1L; doFnRunner.processElement(streamRecord.getValue()); checkInvokeFinishBundleByCount(); + emitWatermarkIfHoldChanged(oldHold); } @Override ",Is this required on every element? I'd rather trigger this only if we set / remove a hold.,Is this required on every element? I'd rather trigger this only if we set / remove a hold.,"This configures Jackson to exclude `null`, `Optional.empty()` and empty collections when serializing.",This cleanup should have gone in a separate commit.,We could check for COMMIT_AT_LEAST_ONCE explicitly.,"I'd put this method in a PR with at least one usage of it - inClientSpan / withClientSpan are quite clear here, but not this method which isn't used. One way to keep PRs small is to change just one usage in one PR, and remaining usages in a mechanical way in another.","I would suggest to use pipelineCreationAllowed as the internal state name, it makes the code easier to read out as I I see. I know this is a regular getter and and setter pair, but... In the tests, the set method is always called with true as the parameter, so I suggest to call this method simply allowPipelineCreation() without a parameter, the getter part of the pair in this case can be called as isPipelineCreationAllowed(). This suggestion is simply about expressions from the usage point of view, and I don't have a strong opinion on this, however if we want to keep this name and want to name it as a regular getter setter as it is suggested by the books then we should use isAllowPipelineCreation as the getter name.",I think that at least we should create an issue to be able to serialize Cursor without loading everything into memory at the same time.,Can you describe this change?,This kind of `xxx - 1` calculation looks rare. Maybe we could get the same information from NetworkLocation? I'm also thinking is SegmentNames really needed.,assign the guid to the annotation GUID on deserialize.
